contourAvgLength,contourCountLSD,contourLengthLSD,contourAvgLengthLSD
72.40769231,246,1485325,6037.906504
68.58503401,262,1594915,6087.461832
63.51851852,252,1518825,6027.083333
61.20606061,247,1476881,5979.275304
68.41984733,259,1635435,6314.420849
63.85714286,245,1481933,6048.706122
74,253,1589179,6281.339921
85.80487805,257,1619458,6301.392996
74.29370629,249,1529004,6140.578313
54.30827068,115,301283,2619.852174
55.16964286,134,416059,3104.91791
56.31578947,132,343495,2602.234848
59.26428571,121,327833,2709.363636
55.69230769,115,309506,2691.356522
55.23809524,134,418271,3121.425373
50.68992248,138,400612,2902.985507
50.80916031,136,398150,2927.573529
61.72932331,126,381014,3023.920635
57.68345324,110,302116,2746.509091
74.54109589,183,718366,3925.497268
81.10569106,149,463974,3113.919463
78.25874126,119,283529,2382.596639
66.74675325,120,303031,2525.258333
67.86821705,118,280536,2377.423729
66.87681159,138,373942,2709.724638
66.67142857,122,302289,2477.778689
62.89403974,109,242147,2221.53211
68.84459459,108,254221,2353.898148
78.03472222,153,472776,3090.039216
87.34415584,64,169468,2647.9375
81.73513514,76,225114,2962.026316
77.98421053,79,223243,2825.860759
83.09142857,73,121431,1663.438356
88.95705521,101,304218,3012.059406
82.5804878,148,667842,4512.445946
86.13414634,64,102593,1603.015625
92.49261084,116,413335,3563.232759
97.09937888,113,393125,3478.982301
94.13114754,89,249805,2806.797753
62.05128205,42,53463,1272.928571
64.5,41,45007,1097.731707
64.68,33,30995,939.2424242
65.10738255,45,45018,1000.4
71.48461538,41,35935,876.4634146
62.85314685,41,53038,1293.609756
62.95555556,47,59390,1263.617021
68.31617647,50,73213,1464.26
69.42176871,69,99782,1446.115942
71.41304348,46,52718,1146.043478
64.72839506,113,269159,2381.938053
79.57798165,90,162205,1802.277778
68.69767442,100,185823,1858.23
66.81021898,112,259112,2313.5
75.7265625,104,214278,2060.365385
71.65986395,99,183931,1857.888889
79.13953488,90,157468,1749.644444
75.375,113,267630,2368.40708
76.40350877,95,191548,2016.294737
70.78294574,108,269241,2492.972222
56.86206897,126,350525,2781.944444
54.02666667,124,319980,2580.483871
57.625,102,239077,2343.892157
61.75,106,267995,2528.254717
63.50649351,106,244304,2304.754717
61.90909091,112,301035,2687.8125
60.96,116,346875,2990.301724
64.06153846,119,329056,2765.176471
62.80821918,115,320007,2782.669565
65.24285714,117,299842,2562.752137
56.51376147,246,1475002,5995.943089
57.47115385,247,1498227,6065.696356
55.09482759,247,1502944,6084.793522
59.91588785,242,1454492,6010.297521
59.59433962,240,1418484,5910.35
53.31858407,236,1401192,5937.254237
51.97478992,245,1461774,5966.42449
54.07692308,235,1381535,5878.87234
52.82242991,227,1273348,5609.462555
55.375,248,1476809,5954.875
59.31081081,98,205687,2098.846939
65.52564103,123,334146,2716.634146
64.50666667,132,347428,2632.030303
62.01149425,132,353099,2674.992424
62.92771084,131,338388,2583.114504
64.2962963,144,410909,2853.534722
62.9,130,340801,2621.546154
59.42666667,145,417434,2878.855172
54.17647059,128,333748,2607.40625
63.28378378,125,326087,2608.696
48.86585366,359,3040072,8468.167131
54.42666667,377,2844498,7545.087533
59.41428571,342,2596805,7592.997076
52.62666667,349,2595674,7437.461318
61.49206349,358,2815347,7864.097765
52.04054054,334,2431627,7280.320359
48.88505747,325,2460662,7571.267692
59.80597015,325,2416680,7435.938462
54.07246377,313,2228876,7121.009585
53.75714286,310,2123858,6851.154839
40.76,26,15858,609.9230769
40.25,15,6829,455.2666667
44.6875,17,7212,424.2352941
43.7,20,9862,493.1
39,9,3650,405.5555556
33.38888889,14,5881,420.0714286
39.9375,14,6135,438.2142857
47.30769231,15,6938,462.5333333
36.57894737,17,8021,471.8235294
38.75,11,4482,407.4545455
48.33823529,220,1140894,5185.881818
51.31914894,242,1309184,5409.85124
54.1875,211,957519,4538.004739
60.72222222,253,1392221,5502.849802
58.01369863,256,1370664,5354.15625
61.1,186,709441,3814.198925
59.09302326,231,1157221,5009.614719
64.19736842,197,792992,4025.340102
69.05970149,186,728933,3918.994624
67.82258065,212,1011158,4769.613208
49.87671233,141,461893,3275.836879
58.11111111,139,423016,3043.280576
60.28813559,206,916328,4448.194175
56.32894737,178,706820,3970.898876
53.4025974,169,595207,3521.934911
53.87931034,166,633597,3816.849398
56.37837838,195,878049,4502.815385
59.95714286,147,463494,3153.020408
60.79710145,144,434361,3016.395833
59.41935484,130,346692,2666.861538
40.29411765,241,1267953,5261.215768
41.95081967,152,511798,3367.092105
34.69047619,245,1351703,5517.155102
40.7826087,239,1244842,5208.543933
38.13114754,193,817963,4238.150259
40.03125,248,1484362,5985.330645
43.33928571,260,1497867,5761.026923
45.23076923,251,1386731,5524.824701
43.63636364,309,2020158,6537.728155
45.89473684,229,1136242,4961.755459
39.66666667,57,53789,943.6666667
39.32352941,105,216616,2063.009524
37.28571429,169,525339,3108.514793
49.77586207,260,1501047,5773.257692
48.66071429,221,999677,4523.425339
47.14583333,177,603938,3412.079096
46.5,203,888630,4377.487685
51.10810811,127,304948,2401.165354
42.34482759,218,1028221,4716.610092
43.64516129,212,959665,4526.721698
41.5,82,129628,1580.829268
41.66666667,75,118283,1577.106667
42.22222222,76,125927,1656.934211
39.09090909,73,101775,1394.178082
37.3125,71,100670,1417.887324
48.33333333,85,141575,1665.588235
40.69230769,76,124852,1642.789474
45.625,70,101050,1443.571429
35.25,70,94754,1353.628571
37,67,89720,1339.104478
34.46666667,86,136725,1589.825581
34.10526316,90,154975,1721.944444
32.14814815,96,167669,1746.552083
35.1875,70,91507,1307.242857
33.18518519,102,182575,1789.95098
36.26923077,101,184112,1822.891089
41.57142857,111,218274,1966.432432
34.94736842,79,115962,1467.873418
36.26666667,50,47432,948.64
33.8,78,110332,1414.512821
56.35616438,136,399951,2940.816176
56.61458333,198,871355,4400.782828
57.26315789,158,569741,3605.955696
54.10465116,139,473393,3405.705036
57.0989011,181,805342,4449.403315
53.61320755,156,546622,3503.987179
53.0776699,160,601015,3756.34375
55.61386139,215,1110848,5166.734884
54.94117647,289,1931994,6685.100346
59.11711712,224,1047423,4675.995536
55.30434783,114,324437,2845.938596
52.92063492,107,334739,3128.401869
47.79207921,73,144735,1982.671233
45.44444444,93,247822,2664.752688
49.25454545,125,429206,3433.648
47.26605505,106,361494,3410.320755
46.53465347,101,277416,2746.693069
46.28947368,139,555712,3997.928058
49.04065041,136,497367,3657.110294
46.5326087,121,354925,2933.264463
51.38043478,571,7845979,13740.76883
49.8125,574,7417168,12921.89547
48.78350515,494,5872421,11887.4919
49,537,6803453,12669.37244
49.46464646,529,6992090,13217.56144
52.81818182,550,7749924,14090.77091
58.57777778,529,6908645,13059.82042
51.30107527,511,6297507,12323.88845
51.67326733,568,8659279,15245.20951
49.57142857,591,9238688,15632.2978
43.953125,37,30604,827.1351351
44.38235294,35,32418,926.2285714
39.15789474,22,13986,635.7272727
38.44444444,19,12045,633.9473684
45.03896104,56,61498,1098.178571
50.85542169,93,168874,1815.849462
38.38461538,36,30348,843
